genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.609196,35.69535
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.565764,35.667531
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559854,35.46613
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.554854,35.66277
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545331,35.699197
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.543201,35.69999
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.54159,35.701449
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.536709,35.684804
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.536353,35.703227
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.535272,35.697688
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.51162,35.562771
