genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.309961,35.563498
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.3096,35.55093
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.309269,35.549774
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.305837,35.511979
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.303237,35.533231
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.300746,35.504324
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.242252,35.577163
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.241962,35.577448
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.23604,35.585914
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.224019,35.605319
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.211497,35.619981
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.104574,35.758313
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.072784,35.667215
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.072588,35.667327
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.072562,35.66675
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.072432,35.666446
