genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.639835,35.588657
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.638141,35.445713
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629844,35.697271
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.564618,35.640001
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559699,35.493895
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559538,35.497504
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.546539,35.498438
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.54159,35.701449
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538009,35.690284
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.532174,35.66333
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.524967,35.674704
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.501666,35.461428
Valid,Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,-83.478703,35.66758
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.471601,35.663652
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.467417,35.708897
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.467212,35.681454
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.465723,35.706994
