genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.521289,35.658232
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.519629,35.656356
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.51824,35.654699
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.516596,35.689905
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.506663,35.677547
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.501666,35.461428
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449553,35.475586
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449128,35.700293
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.447112,35.70083
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.430637,35.670661
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41974,35.671971
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.408425,35.684367
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.40689,35.683262
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383908,35.571721
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.377545,35.724174
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
