genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.533205,35.680912
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.522661,35.439781
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.478326,35.723545
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438174,35.45604
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.43703,35.458289
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.416379,35.737019
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.416307,35.736832
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.415972,35.736361
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.330818,35.562204
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.30068,35.504344
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.299359,35.511743
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.241962,35.577448
