genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280648,35.735109
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280135,35.735362
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.220152,35.74274
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219769,35.74327
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219493,35.743284
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.209357,35.748591
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.209045,35.749327
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08099,35.587935
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080821,35.58782
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.061235,35.59005
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
