genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.746357,35.60952
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.741316,35.601857
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.732989,35.632141
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.732667,35.634032
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.729159,35.629272
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.725718,35.62807
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718609,35.467767
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718058,35.46777
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717771,35.467768
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717221,35.467771
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.716114,35.623501
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.709633,35.624476
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.702217,35.469163
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.70139,35.467496
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.696421,35.679024
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.69238,35.640285
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691825,35.642199
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.689579,35.640402
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.689117,35.639123
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.686439,35.642905
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.682591,35.646065
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.661446,35.668716
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.66136,35.668105
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.65702,35.652482
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646731,35.67599
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646423,35.692734
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646054,35.673211
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.645823,35.693973
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.644842,35.671651
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.636673,35.658698
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629844,35.697271
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.592715,35.675697
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.586047,35.642643
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.584265,35.64114
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582722,35.645671
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582322,35.47343
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.58051,35.671993
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.576812,35.470997
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.569124,35.471774
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.564926,35.461731
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.563617,35.465275
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.563574,35.467727
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.561358,35.467351
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559854,35.46613
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.556368,35.680098
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.550079,35.636975
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538267,35.688638
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538215,35.691884
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538009,35.690284
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.537185,35.6852
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.535587,35.693337
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.527483,35.458015
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.526984,35.663358
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.526102,35.455421
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.522561,35.670914
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.520605,35.669838
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.517315,35.458759
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.514554,35.680817
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.514159,35.691128
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.513784,35.692911
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.512936,35.689116
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.508064,35.697582
Valid,Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,-83.480129,35.669029
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.480093,35.684642
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479742,35.692581
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.475615,35.694523
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.430344,35.466762
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41816,35.702704
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.411557,35.703251
