genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.22995,35.692431
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.225608,35.725837
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.224941,35.692722
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.221136,35.726028
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.215497,35.690048
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.213213,35.724128
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.18846,35.665023
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.183301,35.58707
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.182745,35.585278
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.18087,35.584122
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.180619,35.630569
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.179989,35.573987
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.179225,35.608103
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.178876,35.583013
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.173127,35.579736
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.171345,35.578326
